title,year,duration,genres
The Great Dictator,1940,2h 5m,"Comedy,Drama,War"
The Lives of Others,2006,2h 17m,
WALL·E,2008,1h 38m,"Animation,Adventure,Family"
Sunset Blvd.,1950,1h 50m,"Drama,Film-Noir"
The Shining,1980,2h 26m,"Drama,Horror"
Apocalypse Now,1979,2h 27m,"Drama,Mystery,War"
Indiana Jones and the Raiders of the Lost Ark,1981,1h 55m,"Action,Adventure"
Alien,1979,1h 57m,"Horror,Sci-Fi"
Memento,2000,1h 53m,"Mystery,Thriller"
Django Unchained,2012,2h 45m,"Drama,Western"
Cinema Paradiso,1988,2h 35m,"Drama,Romance"
City Lights,1931,1h 27m,
Rear Window,1954,1h 52m,"Mystery,Thriller"
Modern Times,1936,1h 27m,"Comedy,Drama,Romance"
The Intouchables,2011,1h 52m,"Biography,Comedy,Drama"
Grave of the Fireflies,1988,1h 29m,"Animation,Drama,War"
Harakiri,1962,2h 13m,
The Prestige,2006,2h 10m,"Drama,Mystery,Sci-Fi"
Once Upon a Time in the West,1968,2h 45m,Western
Casablanca,1942,1h 42m,"Drama,Romance,War"
The Departed,2006,2h 31m,"Crime,Drama,Thriller"
The Usual Suspects,1995,1h 46m,"Crime,Drama,Mystery"
American History X,1998,1h 59m,"Crime,Drama"
Whiplash,2014,1h 46m,"Drama,Music"
Gladiator,2000,2h 35m,"Action,Adventure,Drama"
Parasite,2019,2h 12m,"Drama,Thriller"
The Lion King,1994,1h 28m,"Animation,Adventure,Drama"
The Pianist,2002,2h 30m,"Biography,Drama,Music"
Psycho,1960,1h 49m,"Horror,Mystery,Thriller"
Léon: The Professional,1994,1h 50m,"Action,Crime,Drama"
Spirited Away,2001,2h 5m,"Animation,Adventure,Family"
Terminator 2: Judgment Day,1991,2h 17m,"Action,Sci-Fi"
Star Wars: Episode IV - A New Hope,1977,2h 1m,"Action,Adventure,Fantasy"
Back to the Future,1985,1h 56m,"Adventure,Comedy,Sci-Fi"
Life Is Beautiful,1997,1h 56m,"Comedy,Drama,Romance"
Interstellar,2014,2h 49m,"Adventure,Drama,Sci-Fi"
The Green Mile,1999,3h 9m,"Crime,Drama,Fantasy"
Saving Private Ryan,1998,2h 49m,"Drama,War"
12 Angry Men,1957,1h 36m,"Crime,Drama"
Seven Samurai,1954,3h 27m,"Action,Drama"
The Godfather,1972,2h 55m,"Crime,Drama"
The Godfather Part II,1974,3h 22m,"Crime,Drama"
City of God,2002,2h 10m,"Crime,Drama"
The Silence of the Lambs,1991,1h 58m,"Crime,Drama,Thriller"
The Dark Knight,2008,2h 32m,"Action,Crime,Drama"
